tag	eps	minPts	L	M	threads	elapsed_s	points	clusters	noise	noise_pct	avg_size	median_size	max_size
eps0.25_mpts20_L10_M12_t32	0.25	20	10	12	32		52002	2184	29837	57.376639	10.148810	2.000000	11235
eps0.25_mpts20_L10_M18_t32	0.25	20	10	18	32		52002	2583	33211	63.864851	7.274874	2.000000	1602
eps0.25_mpts20_L10_M24_t32	0.25	20	10	24	32		52002	953	45011	86.556286	7.335782	3.000000	172
eps0.25_mpts20_L20_M12_t32	0.25	20	20	12	32		52002	2998	21143	40.658052	10.293195	2.000000	18328
eps0.25_mpts20_L20_M18_t32	0.25	20	20	18	32		52002	3756	23662	45.502096	7.545261	2.000000	9673
eps0.25_mpts20_L20_M24_t32	0.25	20	20	24	32		52002	1952	37866	72.816430	7.241803	2.000000	557
eps0.25_mpts30_L10_M12_t32	0.25	30	10	12	32		52002	1710	31446	60.470751	12.021053	2.000000	4948
eps0.25_mpts30_L10_M18_t32	0.25	30	10	18	32		52002	1643	36984	71.120342	9.140596	3.000000	1289
eps0.25_mpts30_L10_M24_t32	0.25	30	10	24	32		52002	434	47695	91.717626	9.923963	5.000000	157
eps0.25_mpts30_L20_M12_t32	0.25	30	20	12	32		52002	2389	22950	44.132918	12.160737	2.000000	12023
eps0.25_mpts30_L20_M18_t32	0.25	30	20	18	32		52002	2618	28203	54.234453	9.090527	2.000000	4937
eps0.25_mpts30_L20_M24_t32	0.25	30	20	24	32		52002	1007	42278	81.300719	9.656405	3.000000	391
eps0.25_mpts40_L10_M12_t32	0.25	40	10	12	32		52002	1439	32610	62.709127	13.476025	3.000000	3541
eps0.25_mpts40_L10_M18_t32	0.25	40	10	18	32		52002	1176	39502	75.962463	10.629252	3.000000	341
eps0.25_mpts40_L10_M24_t32	0.25	40	10	24	32		52002	248	48924	94.080997	12.411290	6.000000	159
eps0.25_mpts40_L20_M12_t32	0.25	40	20	12	32		52002	2065	24323	46.773201	13.403874	2.000000	12877
eps0.25_mpts40_L20_M18_t32	0.25	40	20	18	32		52002	2002	31153	59.907311	10.414086	2.000000	2982
eps0.25_mpts40_L20_M24_t32	0.25	40	20	24	32		52002	609	44527	85.625553	12.274220	4.000000	365
eps0.28_mpts20_L10_M12_t32	0.28	20	10	12	32		52002	869	12301	23.654859	45.685846	3.000000	35178
eps0.28_mpts20_L10_M18_t32	0.28	20	10	18	32		52002	1218	18737	36.031306	27.311166	3.000000	23469
eps0.28_mpts20_L10_M24_t32	0.28	20	10	24	32		52002	710	37885	72.852967	19.883099	9.000000	744
eps0.28_mpts20_L20_M12_t32	0.28	20	20	12	32		52002	909	6239	11.997615	50.344334	2.000000	41847
eps0.28_mpts20_L20_M18_t32	0.28	20	20	18	32		52002	1390	9969	19.170417	30.239568	2.000000	35797
eps0.28_mpts20_L20_M24_t32	0.28	20	20	24	32		52002	1106	26164	50.313449	23.361664	4.000000	14765
eps0.28_mpts30_L10_M12_t32	0.28	30	10	12	32		52002	677	13530	26.018230	56.827179	3.000000	33707
eps0.28_mpts30_L10_M18_t32	0.28	30	10	18	32		52002	862	22784	43.813699	33.895592	5.000000	15523
eps0.28_mpts30_L10_M24_t32	0.28	30	10	24	32		52002	353	42592	81.904542	26.657224	16.000000	318
eps0.28_mpts30_L20_M12_t32	0.28	30	20	12	32		52002	730	7219	13.882158	61.346575	2.000000	40921
eps0.28_mpts30_L20_M18_t32	0.28	30	20	18	32		52002	1036	13205	25.393254	37.448842	2.000000	31468
eps0.28_mpts30_L20_M24_t32	0.28	30	20	24	32		52002	650	32167	61.857236	30.515385	8.000000	6545
eps0.28_mpts40_L10_M12_t32	0.28	40	10	12	32		52002	577	14467	27.820084	65.051993	4.000000	32755
eps0.28_mpts40_L10_M18_t32	0.28	40	10	18	32		52002	672	25957	49.915388	38.757440	8.000000	10867
eps0.28_mpts40_L10_M24_t32	0.28	40	10	24	32		52002	218	45082	86.692820	31.743119	23.000000	295
eps0.28_mpts40_L20_M12_t32	0.28	40	20	12	32		52002	651	7990	15.364794	67.606759	2.000000	40132
eps0.28_mpts40_L20_M18_t32	0.28	40	20	18	32		52002	835	15760	30.306527	43.403593	3.000000	26591
eps0.28_mpts40_L20_M24_t32	0.28	40	20	24	32		52002	443	35857	68.953117	36.444695	13.000000	2944
eps0.31_mpts20_L10_M12_t32	0.31	20	10	12	32		52002	80	1065	2.047998	636.712500	2.000000	50634
eps0.31_mpts20_L10_M18_t32	0.31	20	10	18	32		52002	274	5030	9.672705	171.430657	5.000000	44222
eps0.31_mpts20_L10_M24_t32	0.31	20	10	24	32		52002	454	29031	55.826699	50.596916	17.000000	10608
eps0.31_mpts20_L20_M12_t32	0.31	20	20	12	32		52002	41	227	0.436522	1262.804878	2.000000	51635
eps0.31_mpts20_L20_M18_t32	0.31	20	20	18	32		52002	171	1300	2.499904	296.502924	2.000000	50008
eps0.31_mpts20_L20_M24_t32	0.31	20	20	24	32		52002	453	12727	24.474059	86.699779	8.000000	33491
eps0.31_mpts30_L10_M12_t32	0.31	30	10	12	32		52002	63	1348	2.592208	804.031746	3.000000	50210
eps0.31_mpts30_L10_M18_t32	0.31	30	10	18	32		52002	232	7587	14.589823	191.443966	9.000000	40508
eps0.31_mpts30_L10_M24_t32	0.31	30	10	24	32		52002	284	36068	69.358871	56.105634	29.000000	1134
eps0.31_mpts30_L20_M12_t32	0.31	30	20	12	32		52002	36	313	0.601900	1435.805556	2.000000	51498
eps0.31_mpts30_L20_M18_t32	0.31	30	20	18	32		52002	154	2235	4.297912	323.162338	2.000000	48587
eps0.31_mpts30_L20_M24_t32	0.31	30	20	24	32		52002	316	19252	37.021653	103.639241	17.000000	24102
eps0.31_mpts40_L10_M12_t32	0.31	40	10	12	32		52002	56	1568	3.015269	900.607143	3.000000	49957
eps0.31_mpts40_L10_M18_t32	0.31	40	10	18	32		52002	227	10020	19.268490	184.942731	14.000000	35932
eps0.31_mpts40_L10_M24_t32	0.31	40	10	24	32		52002	190	40267	77.433560	61.763158	40.000000	491
eps0.31_mpts40_L20_M12_t32	0.31	40	20	12	32		52002	34	375	0.721126	1518.441176	1.500000	51539
eps0.31_mpts40_L20_M18_t32	0.31	40	20	18	32		52002	144	3190	6.134379	338.972222	4.000000	47796
eps0.31_mpts40_L20_M24_t32	0.31	40	20	24	32		52002	231	24176	46.490520	120.458874	28.000000	16910
eps0.34_mpts20_L10_M12_t32	0.34	20	10	12	32		52002	1	0	0.000000	52002.000000	52002.000000	52002
eps0.34_mpts20_L10_M18_t32	0.34	20	10	18	32		52002	41	572	1.099958	1254.390244	7.000000	51110
eps0.34_mpts20_L10_M24_t32	0.34	20	10	24	32		52002	352	24594	47.294335	77.863636	20.000000	15807
eps0.34_mpts20_L20_M12_t32	0.34	20	20	12	32		52002	1	0	0.000000	52002.000000	52002.000000	52002
eps0.34_mpts20_L20_M18_t32	0.34	20	20	18	32		52002	3	3	0.005769	17333.000000	10.000000	51988
eps0.34_mpts20_L20_M24_t32	0.34	20	20	24	32		52002	222	6008	11.553402	207.180180	12.000000	41555
